file,positive_slices
test/2013/TOR_130916_151034_KAMX_471045_H0.nc,3
test/2013/TOR_131004_030848_KOAX_472673_A1.nc,3
test/2013/TOR_131004_031326_KOAX_472673_A1.nc,2 3
test/2013/TOR_131004_031804_KOAX_472673_A1.nc,1 2 3
test/2013/TOR_131004_032241_KOAX_472673_A1.nc,0 1 2 3
test/2013/TOR_131004_032720_KOAX_472673_A1.nc,0 1 2 3
test/2013/TOR_131004_033158_KOAX_472673_A1.nc,0 1 2 3
test/2013/TOR_131004_033158_KOAX_472699_A1.nc,3
test/2013/TOR_131004_033637_KOAX_472699_A1.nc,2 3
test/2013/TOR_131004_035512_KOAX_472700_A1.nc,3
test/2013/TOR_131004_035951_KOAX_472700_A1.nc,2 3
test/2013/TOR_131004_040432_KOAX_472700_A1.nc,1 2 3
test/2013/TOR_131004_040911_KOAX_472700_A1.nc,0 1 2 3
test/2013/TOR_131004_213028_KOAX_473022_C1.nc,3
test/2013/TOR_131004_213508_KOAX_473022_C1.nc,2 3
test/2013/TOR_131004_213945_KOAX_473022_C1.nc,1 2 3
test/2013/TOR_131004_214901_KOAX_474503_I5.nc,3
test/2013/TOR_131004_215323_KOAX_474503_I5.nc,2 3
test/2013/TOR_131004_215747_KOAX_474503_U0.nc,1 2 3
test/2013/TOR_131004_220209_KOAX_474503_U0.nc,0 1 2 3
test/2013/TOR_131004_221040_KOAX_472670_D1.nc,3
test/2013/TOR_131004_221451_KOAX_472670_D1.nc,2 3
test/2013/TOR_131004_221900_KOAX_472670_D1.nc,1 2 3
test/2013/TOR_131004_222309_KOAX_472670_D1.nc,1 2 3
test/2013/TOR_131004_222705_KOAX_472670_D1.nc,0 1 2 3
test/2013/TOR_131004_223101_KOAX_472670_D1.nc,0 1 2 3
test/2013/TOR_131004_223458_KOAX_472670_H7.nc,0 1 2 3
test/2013/TOR_131004_223458_KOAX_476178_H7.nc,3
test/2013/TOR_131004_223906_KOAX_476178_H7.nc,2 3
test/2013/TOR_131004_224316_KOAX_476178_D1.nc,1 2 3
test/2013/TOR_131004_224724_KOAX_476178_D1.nc,0 1 2 3
test/2013/TOR_131004_225133_KOAX_476178_D1.nc,0 1 2 3
test/2013/TOR_131004_225555_KOAX_472671_I6.nc,3
test/2013/TOR_131004_230018_KOAX_472671_I6.nc,2 3
test/2013/TOR_131004_230018_KOAX_472996_I6.nc,3
test/2013/TOR_131004_230018_KOAX_493425_D1.nc,3
test/2013/TOR_131004_230441_KOAX_472996_I6.nc,2 3
test/2013/TOR_131004_230919_KOAX_472996_I6.nc,1 2 3
test/2013/TOR_131004_231342_KOAX_472996_I6.nc,0 1 2 3
test/2013/TOR_131004_231342_KOAX_476180_I6.nc,3
test/2013/TOR_131004_231821_KOAX_476180_I6.nc,2 3
test/2013/TOR_131004_231821_KOAX_476181_I6.nc,3
test/2013/TOR_131004_232259_KOAX_476180_I6.nc,1 2 3
test/2013/TOR_131004_232737_KOAX_476180_I6.nc,0 1 2 3
test/2013/TOR_131004_233200_KOAX_476180_I6.nc,0 1 2 3
test/2013/TOR_131004_233622_KOAX_476100_I6.nc,3
test/2013/TOR_131004_233622_KOAX_476180_I6.nc,0 1 2 3
test/2013/TOR_131004_234044_KOAX_476100_I6.nc,2 3
test/2013/TOR_131004_234044_KOAX_476180_I6.nc,0 1 2 3
test/2013/TOR_131004_234506_KOAX_476100_I6.nc,1 2 3
test/2013/TOR_131004_234506_KOAX_476180_I6.nc,0 1 2 3
test/2013/TOR_131004_234916_KOAX_476100_I6.nc,0 1 2 3
test/2013/TOR_131004_235747_KOAX_476100_I6.nc,0 1 2 3
test/2013/TOR_131005_000209_KOAX_476100_I6.nc,0 1 2 3
test/2013/TOR_131005_000619_KOAX_476100_I6.nc,0 1 2 3
test/2013/TOR_131005_001028_KOAX_476100_I6.nc,0 1 2 3
test/2013/TOR_131005_232119_KMKX_472741_P5.nc,3
test/2013/TOR_131005_232545_KMKX_472741_P5.nc,2 3
test/2013/TOR_131005_233010_KMKX_472741_P5.nc,1 2 3
test/2013/TOR_131005_235128_KPAH_480244_F4.nc,3
test/2014/TOR_140407_004316_KDGX_507112_G2.nc,2 3
test/2014/TOR_140407_070144_KDGX_507164_D5.nc,3
test/2014/TOR_140407_070623_KDGX_507164_D5.nc,2 3
test/2014/TOR_140407_071103_KDGX_507164_D5.nc,1 2 3
test/2014/TOR_140407_071543_KDGX_507164_D5.nc,0 1 2 3
test/2014/TOR_140407_072023_KDGX_507164_D5.nc,0 1 2 3
test/2014/TOR_140407_072503_KDGX_507164_N0.nc,0 1 2 3
test/2014/TOR_140407_072503_KDGX_516926_N0.nc,3
test/2014/TOR_140407_175300_KVAX_515046_H9.nc,3
test/2014/TOR_140407_175742_KVAX_515046_H9.nc,2 3
test/2014/TOR_140407_180224_KVAX_515046_E9.nc,1 2 3
test/2014/TOR_140407_194816_KMHX_505501_E8.nc,3
test/2014/TOR_140407_195203_KMHX_505501_E8.nc,2 3
test/2014/TOR_140407_195549_KMHX_505501_E8.nc,2 3
test/2014/TOR_140407_195936_KMHX_505502_E8.nc,3
test/2014/TOR_140407_212300_KTLH_515057_S3.nc,3
test/2014/TOR_140408_015141_KFFC_511191_F1.nc,2 3
test/2014/TOR_140427_175316_KEAX_504907_N2.nc,2 3
test/2014/TOR_140427_192543_KUEX_510395_A7.nc,3
test/2014/TOR_140427_205355_KDVN_504274_N7.nc,2 3
test/2014/TOR_140427_205751_KDVN_504274_N7.nc,2 3
